"tweet_id","tweet_text","humanitarian_label","event_type","event_name"
"510381372125351937","RT @_Ayesha_D: Punjab govt checks for flood victims from 2013 remain un-cashed. PMLN lies have no limits. @CMShehbaz ROT IN HELL http://t.c…","other_relevant_information","flood","2014 Pakistan Floods"
"901646377620578304","Texas county's long recovery from Hurricane Harvey begins https://t.co/tf5pLVRIdC https://t.co/NDjZrZIFnD","unknown_or_unclassified","storm","2017 Hurricane Harvey"
"901775227599892481","RT @NoelleNBC5: We talked to people outside of #Houston who woke to #Harvey spawned #tornado damage. @NBCDFW report here--&gt;","infrastructure_and_utility_damage","storm","2017 Hurricane Harvey"
"1041740588469682176","#ClemsonZWC participants, thank you for your ongoing participation! Another way to earn points (if you haven’t already) is to fill out our Tiger Prowl Survey. This can help us better gage","not_humanitarian","storm","2018 Hurricane Florence"
"511532094158540800","Today's News Photo: Hurricane Odile damage at Cabo San Lucas, Mexico, hotel - @eileenmera http://t.co/NASdwyfTXK","infrastructure_and_utility_damage","storm","2014 Hurricane Odile Mexico"
"1061277595294199810","Wild fires happening in California are coordinated attacks by terrorists. The Democrats in government are clueless about these attacks and are unable to stop them. #Californias sanctuary city policies harbor arsonist sleeper cells. #Oakland #Oakmtg #Oakmayor #CAgov #MAGA","not_humanitarian","wildfire","2018 California Wildfires"
"768635152989769728","Sad news todayMy heart and prayers go to Italy ὤFὤFὤF #PrayForItaly","sympathy_and_support","earthquake","2016 Italy Earthquake"
"907962863796584448","Great masterclass from Benoit Blin at the Harvey and Brockless Meet the Makers. https://t.co/B53AaTcSjN","not_humanitarian","storm","2017 Hurricane Harvey"
"1031278091409088512","Helping for relief camps at kollam and ALLAPUZHA. Team Bharatgas Trivandrum led by @Dharmasanstha Bharatgas ready with food water and support material for relief camps.#KeralaFloodRelief @BPCLimited @BPCLLPG @singharunbpcl @ISrinivasRao2 @CMOKerala @dpradhanbjp @AshutoshJindalS","sympathy_and_support","flood","2018 Kerala Floods"
"541730750358245376","Safe na safe ang #Batangas #RubyPH","not_related_or_irrelevant","storm","2014 Philippines Typhoon Hagupit"
"1040706676511322112","Donations are still coming in. Thank you! I’ll be here all day tomorrow, and doing drop offs as long as they are needed. #merrimackvalley #donations #donationsarestillneeded","rescue_volunteering_or_donation_effort","storm","2018 Hurricane Florence"
"19870","He refused to leave as the whole building evacuated, because some of the patients were unable to stand and escape.","not_humanitarian","disaster","disaster_events"
"913153699140300801","#PuertoRico was in dire economic straits before #HurricaneMaria hit &amp; now ongoing US-imposed restrictions are making recovery impossible","other_relevant_information","storm","2017 Hurricane Maria"
"728604260120801280",".@JustinTrudeau urges Canadians to keep giving to Red Cross as wildfire burns  #ymm #ymmfire","other_relevant_information","wildfire","2016 Canada Wildfires"
"908790037575323648","Wells Fargo Donates $1.1 Million for Hurricane Irma Relief","rescue_volunteering_or_donation_effort","storm","2017 Hurricane Irma"
"903047290084093953","AP: 2 more #Harvey-related deaths in #Houston confirmed, bringing death toll to 20  CGTNOfficial","injured_or_dead_people","storm","2017 Hurricane Harvey"
"20433","In poor climatic years such as this, therefore, production problems became greatly exacerbated and the likelihood of food shortages increases considerably.","not_humanitarian","disaster","disaster_events"
"921568591606157312","https://t.co/CVNrQt51za #style Nike Air 323085-164 Puerto Rico Jordan Size 9 https://t.co/v1PtINJQqa","not_humanitarian","storm","2017 Hurricane Maria"
"1035061927666491392","HDFC Bank to adopt 30 villages; donates Rs 10 crore  The HDFC Bank on Wednesday said it will adopt 30 villages in Kerala as part of its long-term flood relief and rehabilitation efforts.","rescue_volunteering_or_donation_effort","flood","2018 Kerala Floods"
"503714481143152641","#napaquake hits home. One local felt the quake, one is keeping his family in his prayers. @11pm @CBS47@KSEE24 http://t.co/HqeMqVafJS","sympathy_and_support","earthquake","2014 California Earthquake"
"913485282875293696","Mexico estimates earthquake damage at more than 2 billion dollars - The Keene Sentinel","infrastructure_and_utility_damage","earthquake","2017 Puebla Mexico Earthquake"
"869990496021626880","Everything is funny to us. We forget that, the cyclone #Mora was very much real for so many people. https://t.co/W686wmF9ad","not_humanitarian","flood","2017 Sri Lanka Floods"
"593315882144813056","RT @RotaryLondonSM: #RT Fantastic @rotary @ShelterBox Help for Nepal from @rotary So proud to be a #rotarian @rotarylondonsm @rotaryclive @…","rescue_volunteering_or_donation_effort","earthquake","2015 Nepal Earthquake"
"1168013476176048129","I should hope she’s facing backlash for wishing Mar-a-Lago destroyed in a powerful hurricane.","not_humanitarian","storm","2019 Hurricane Dorian"
"576587187451342848","live map of the cyclone http://t.co/DERhPtDPrE... http://t.co/lqSxtRYvuj","other_relevant_information","storm","2015 Cyclone Pam"
"76442268629864400"," @ProFootballTalk: Bills players, New Era donating at least $10,000 to Joplin tornado relief http://bit.ly/ln4qMA","rescue_volunteering_or_donation_effort","tornado","2011 Joplin tornado"
"577359401910079488","#Vanuatu #Disaster ë█╥ Aid heads for Vanuatu after devastating Pacificë█_ http://t.co/f81w7AflRk #News #aidhead #climate #cyclone #disaster","rescue_volunteering_or_donation_effort","storm","2015 Cyclone Pam"
"910681953971482624","JUST IN: L.A. County Fire Department’s Urban Search and Rescue Team are being deployed to Mexico to assist with 7.1 earthquake aftermath","rescue_volunteering_or_donation_effort","earthquake","2017 Puebla Mexico Earthquake"
"1021828668300058624","#Wildfires rage out of control near Athens, leaving 74 deaths up to now, and injuring dozens with missings unclear #PrayForGreece","injured_or_dead_people","wildfire","2018 Greece Wildfires"
"541635973805641729","keep safe everyone, god is always their #RubyPH","not_related_or_irrelevant","storm","2014 Philippines Typhoon Hagupit"
"914345002096046080","Please help us in our efforts to raise much needed funds for our beautiful Dominica following Hurricane Maria @TheEllenShow","requests_or_needs","storm","2017 Hurricane Maria"
"1030848189866291205","Guys need food n other commodities@#Alappuzha- these places TD SCHOOL @ medical college juction ,SDV school @ high court junction , tiruvampady. #KeralaSOS #KeralaFloods","requests_or_needs","flood","2018 Kerala Floods"
"732759831837298688","RT @phunphunphun: It says a lot about the people of #Attawapiskat - raising money to help #ymmfire Great kindness &amp; consideration. &lt;3","rescue_volunteering_or_donation_effort","wildfire","2016 Canada Wildfires"
"797812997179711489","Ringing in my ears as if I can hear the tsunami warnings from here, stay safe everyone! #evacuate drive slowly, #worried #eqnz #resilience","sympathy_and_support","earthquake","2016 Kaikoura Earthquake"
"1168221051576356865","Historic #HurricaneDorian making landfall on #ElbowCay in #Bahamas just recently with catastrophic winds gusting to 220mph, expect destruction within locations hit by eyewall impact. Video credit: vianor04 via FB.","infrastructure_and_utility_damage","storm","2019 Hurricane Dorian"
"384923877820088320","RT @CNBCPAKISTAN: Just in: 4 including 3 women killed in #Rawalpindi, Gulistan Colony #Pakistan","injured_or_dead_people","earthquake","2013 Pakistan Earthquake"
