"tweet_text","humanitarian_label"
"RT @_Ayesha_D: Punjab govt checks for flood victims from 2013 remain un-cashed. PMLN lies have no limits. @CMShehbaz ROT IN HELL http://t.c…","other_relevant_information"
"Texas county's long recovery from Hurricane Harvey begins https://t.co/tf5pLVRIdC https://t.co/NDjZrZIFnD","unknown_or_unclassified"
"RT @NoelleNBC5: We talked to people outside of #Houston who woke to #Harvey spawned #tornado damage. @NBCDFW report here--&gt;","infrastructure_and_utility_damage"
"#ClemsonZWC participants, thank you for your ongoing participation! Another way to earn points (if you haven’t already) is to fill out our Tiger Prowl Survey. This can help us better gage","not_humanitarian"
"Today's News Photo: Hurricane Odile damage at Cabo San Lucas, Mexico, hotel - @eileenmera http://t.co/NASdwyfTXK","infrastructure_and_utility_damage"
"Wild fires happening in California are coordinated attacks by terrorists. The Democrats in government are clueless about these attacks and are unable to stop them. #Californias sanctuary city policies harbor arsonist sleeper cells. #Oakland #Oakmtg #Oakmayor #CAgov #MAGA","not_humanitarian"
"Sad news todayMy heart and prayers go to Italy ὤFὤFὤF #PrayForItaly","sympathy_and_support"
"Great masterclass from Benoit Blin at the Harvey and Brockless Meet the Makers. https://t.co/B53AaTcSjN","not_humanitarian"
"Helping for relief camps at kollam and ALLAPUZHA. Team Bharatgas Trivandrum led by @Dharmasanstha Bharatgas ready with food water and support material for relief camps.#KeralaFloodRelief @BPCLimited @BPCLLPG @singharunbpcl @ISrinivasRao2 @CMOKerala @dpradhanbjp @AshutoshJindalS","sympathy_and_support"
"Safe na safe ang #Batangas #RubyPH","not_related_or_irrelevant"
"Donations are still coming in. Thank you! I’ll be here all day tomorrow, and doing drop offs as long as they are needed. #merrimackvalley #donations #donationsarestillneeded","rescue_volunteering_or_donation_effort"
"He refused to leave as the whole building evacuated, because some of the patients were unable to stand and escape.","not_humanitarian"
"#PuertoRico was in dire economic straits before #HurricaneMaria hit &amp; now ongoing US-imposed restrictions are making recovery impossible","other_relevant_information"
".@JustinTrudeau urges Canadians to keep giving to Red Cross as wildfire burns  #ymm #ymmfire","other_relevant_information"
"Wells Fargo Donates $1.1 Million for Hurricane Irma Relief","rescue_volunteering_or_donation_effort"
"AP: 2 more #Harvey-related deaths in #Houston confirmed, bringing death toll to 20  CGTNOfficial","injured_or_dead_people"
"In poor climatic years such as this, therefore, production problems became greatly exacerbated and the likelihood of food shortages increases considerably.","not_humanitarian"
"https://t.co/CVNrQt51za #style Nike Air 323085-164 Puerto Rico Jordan Size 9 https://t.co/v1PtINJQqa","not_humanitarian"
"HDFC Bank to adopt 30 villages; donates Rs 10 crore  The HDFC Bank on Wednesday said it will adopt 30 villages in Kerala as part of its long-term flood relief and rehabilitation efforts.","rescue_volunteering_or_donation_effort"
"#napaquake hits home. One local felt the quake, one is keeping his family in his prayers. @11pm @CBS47@KSEE24 http://t.co/HqeMqVafJS","sympathy_and_support"
"Mexico estimates earthquake damage at more than 2 billion dollars - The Keene Sentinel","infrastructure_and_utility_damage"
"Everything is funny to us. We forget that, the cyclone #Mora was very much real for so many people. https://t.co/W686wmF9ad","not_humanitarian"
"RT @RotaryLondonSM: #RT Fantastic @rotary @ShelterBox Help for Nepal from @rotary So proud to be a #rotarian @rotarylondonsm @rotaryclive @…","rescue_volunteering_or_donation_effort"
"I should hope she’s facing backlash for wishing Mar-a-Lago destroyed in a powerful hurricane.","not_humanitarian"
"live map of the cyclone http://t.co/DERhPtDPrE... http://t.co/lqSxtRYvuj","other_relevant_information"
" @ProFootballTalk: Bills players, New Era donating at least $10,000 to Joplin tornado relief http://bit.ly/ln4qMA","rescue_volunteering_or_donation_effort"
"#Vanuatu #Disaster ë█╥ Aid heads for Vanuatu after devastating Pacificë█_ http://t.co/f81w7AflRk #News #aidhead #climate #cyclone #disaster","rescue_volunteering_or_donation_effort"
"JUST IN: L.A. County Fire Department’s Urban Search and Rescue Team are being deployed to Mexico to assist with 7.1 earthquake aftermath","rescue_volunteering_or_donation_effort"
"#Wildfires rage out of control near Athens, leaving 74 deaths up to now, and injuring dozens with missings unclear #PrayForGreece","injured_or_dead_people"
"keep safe everyone, god is always their #RubyPH","not_related_or_irrelevant"
"Please help us in our efforts to raise much needed funds for our beautiful Dominica following Hurricane Maria @TheEllenShow","requests_or_needs"
"Guys need food n other commodities@#Alappuzha- these places TD SCHOOL @ medical college juction ,SDV school @ high court junction , tiruvampady. #KeralaSOS #KeralaFloods","requests_or_needs"
"RT @phunphunphun: It says a lot about the people of #Attawapiskat - raising money to help #ymmfire Great kindness &amp; consideration. &lt;3","rescue_volunteering_or_donation_effort"
"Ringing in my ears as if I can hear the tsunami warnings from here, stay safe everyone! #evacuate drive slowly, #worried #eqnz #resilience","sympathy_and_support"
"Historic #HurricaneDorian making landfall on #ElbowCay in #Bahamas just recently with catastrophic winds gusting to 220mph, expect destruction within locations hit by eyewall impact. Video credit: vianor04 via FB.","infrastructure_and_utility_damage"
