tweet_text,dataset
@gilsmithii u sent me a dm with a link asking if that was me...I know they had something lik that on facebook goin round..it's legit?,twitter_cikm_2010
"@bemadthen That's Greece, not Georgia...right? :P",twitter_cikm_2010
RT @KilZ_: brat! Lol Everyone must know I'm home today?! Phone is off the Hook.?! I'm So high on Demand! Lmao,twitter_cikm_2010
My Sports Happy Thoughts of the weekend:  Mayweather Won :: Eagles Lost --->> yes yes yes life is wonderful.  I hear my bed calling me now,twitter_cikm_2010
"Geez, Preds could be up 10-1 by now.  But, like I mentioned earlier, the more things change...    .... down 3-1.",twitter_cikm_2010
RT @ParamountPics Only 2 hrs left... Get ur name featured on the Paranormal Activity DVD! http://bit.ly/4f5y2I #LeaveUrMark,twitter_cikm_2010
dont see much longevity for govts rajasthan karnataka too,Twitter Sentiments Dataset
Sitting on the toilet thinking about COD,twitter_cikm_2010
My guess - nonsense.  Time to abandon empire  RT @CatoInstitute: What is Condoleezza Rice Talking About? http://bit.ly/WoZRg #tlot #tcot #p2,twitter_cikm_2010
RT @Tyrese4ReaL: When you walk away from what's NOT good for you..  They will put you down cause they wanna KEEP YOU MISERABLE..,twitter_cikm_2010
@ashleysupaflyy yeah we did too.,twitter_cikm_2010
I am literally dreading going to work today.,twitter_cikm_2010
"New Tee, 'Koi Courage' depicts the Japanese Koi fish, a historic symbol of courage and the overcoming of obstacles. http://cli.gs/jv582",twitter_cikm_2010
Getting design work done for @barbssoups and @latourelle...wondering if I will get sleep tonight :),twitter_cikm_2010
@Jenn_Bear jeennnnn I miss you bab!!,twitter_cikm_2010
Doing some research on the foot. May sound boring but it fascinates me on how change of direction is affected by poor moving feet...,twitter_cikm_2010
@shantelsawonder haha. Soo clever =),twitter_cikm_2010
"@EWeE420 #GarthBrooks is opening soon, December 11. That's what's up! ^JB",twitter_cikm_2010
Clutter is dimishing!!! Meal 3 for insanity  on the horizon! Kids are playing in the az sun at the park. Life is good,twitter_cikm_2010
Friday night #dparty. Let's see what you kids got...@D3WEY @laurastirling @cobradave @susancho @mercedeslt,twitter_cikm_2010
Then again everything we do today will be history tomorrow. I guess we're all making history together! Be careful  (cont) http://tl.gd/4hpok,twitter_cikm_2010
"Omg, I just saw this black cat camouflage onto this pitch black curb when these dogs were passing by and the dogs didn't even see him",twitter_cikm_2010
KISS Gets Keys To The City Of Tampa: http://bit.ly/HSQzN,twitter_cikm_2010
@djprecise1914 Happy Day of Birth Bro :-) ? this sigma,twitter_cikm_2010
"Go Cubs, Go Tigers.",twitter_cikm_2010
is sad that he has to go to work and will miss the Roland Garros men's final between Roger Federer and Robin Soderling ,Sentiment140
"@Modelinia that link to abbey's twitter is an imposter, its not really her!",twitter_cikm_2010
Sweeny Todd night three ,Sentiment140
@heidimontag Check out my eBay store for UGG Boots!http://stores.ebay.com/Sky-Couture-Boutique,twitter_cikm_2010
@L_Boogz let's go I'm inviting u now,twitter_cikm_2010
"My iPhone running OS 3.0 , wife's bricked trying to install it, no luck trying to restore yet ",Sentiment140
fire alarm at Tuscany AGAIN!!!,twitter_cikm_2010
@michaelheredia have u ever had shoes without shoe strings,twitter_cikm_2010
@vakulskd Just stop Twittering altogether.,twitter_cikm_2010
@latinachick_90 ?,twitter_cikm_2010
@Ladii_Loren thirrrrrrssstyyyyyy lol,twitter_cikm_2010
"Look, you guys are acting like a Field Goal is a sure thing.",twitter_cikm_2010
@_RiSSAA_ i try i try. i swearrr,twitter_cikm_2010
"**stretches and screams, IM AWAKE, IM AWAKE**",twitter_cikm_2010
"My friends @O2society are hosting a Clean Energy Forum Sep. 22 @ 5:15 , State Capitol. Hope to see you there!    http://bit.ly/3B8KGj",twitter_cikm_2010
Momentum is key to Success - http://om.ly/atEz RT @EdEntrepreneur (So true..),twitter_cikm_2010
@JourneiiWest #twhoneys she's the only one who puts up with me and all my mess when it comes to fitness.,twitter_cikm_2010
@solkana I am so sad. I woke up and went OH YEAH IPHONE UPDATE YAY WOOHOOO!! plugged it all in.. no update. Grrrarrgh!  So sad. ,Sentiment140
@DeeJayTDubb wasup big dawg,twitter_cikm_2010
@mattberes I can totally see that. Forgot about the muppets version.,twitter_cikm_2010
@lhein Nice. What was your topic?,twitter_cikm_2010
@Jus4U2Luv lmfaooo never heard of it...,twitter_cikm_2010
"Mañana entro hasta las 9:30 así q quiero dsvelarme, platiquenme lo q sea o al menos diganme qn sta n #twitter, den alguna señal de vida !!!",Sanders Analytics Sentiment-labelled tweets
"Either everything's an interdisciplinary science, or I'm doing too much. I think it's the former. #fb",twitter_cikm_2010
@barbiehype nothin hella bored jus smokin n chillin. How u been?,twitter_cikm_2010
is hella sweating from this heat. lol thanks val for dropping off my fone! ,Sentiment140
"Prosecutor Barbara Burns now up for argument. Brazill deserves no other hearing on the matter, she is arguing.",twitter_cikm_2010
know where your competition is getting its reviews from -- sneak in and get that love  #pubcon #competitiveintelligence,twitter_cikm_2010
wants it just happend. needs that person to leave now and leave soon. its their fault somethings arent going the way its planned.,twitter_cikm_2010
@playplay88 look at you!,twitter_cikm_2010
@LadySwagger10 first I gotta remember how to get to freehold mall lol,twitter_cikm_2010
is highly impatient ... It sucks being an Aries sometimes. ,Sentiment140
absolutely love Christian Siriano's spring 2010 collection! Gorgeous!!,twitter_cikm_2010
RT @NewLilWaynecom: #MusicMonday = #WeAreYoungMoney RT This if you know whats up,twitter_cikm_2010
Ohayou gozaomasu m(__)m gozaimasu abut is fomal,twitter_cikm_2010
this message from modi doctors this how patients feel when you give appointment for keep the patient waiting till ,Twitter Sentiments Dataset
@hellakaty: It's 2:30 here and I am wide awake. Plus there are drunk people being loud outside. ,Sentiment140
Severus Snapes Pop of The Ages http://ushow.com/YLdoA,twitter_cikm_2010
@SimplyyTrini everything is going good just been chilling pretty much,twitter_cikm_2010
@MizzCaramel83 extra boring.. Yours?,twitter_cikm_2010
@CC_Hobbs ima hold u to that. So next time I see ya tweet talkin bout  Å smoothie I better get  Å shoutout to come get one,twitter_cikm_2010
Oh yea ¤whodat ...lol shoutout to my country cousin for calling me and singing that chant lol #Saints ....yessss ceilings ...and I'm done,twitter_cikm_2010
"@beckie0 i was thinking of doing Alice in wonderland heehee  well, a music video sort of thing. Great minds think alike!!",Sentiment140
I need serious help!!!!,twitter_cikm_2010
"Just saw Toni Basil walking out of K-Mart. You guys, this town is awesome.",twitter_cikm_2010
Ahhh ma cuzin from philly comin down on fridaii..she's gunna wanna hit da club scene..she's madd hyper gotta get ready for her hypeness,twitter_cikm_2010
They got tha original mighty morphin power rangers on!!! I'm hype,twitter_cikm_2010
