"tweet_text","dataset"
"People are furiously canceling their New York Times subscriptions after an op-ed disputing climate change… https://t.co/uv0iMtIV7d #http:/…","Twitter Climate Change Sentiment Dataset"
"RT @OceanChampions: Despite global warming, some reefs are flourishing, and you can see it in 3D https://t.co/Z0Uajd79ci via @qz","Twitter Climate Change Sentiment Dataset"
"RT @flyosity: An explanation of global climate change from 105 years ago. Simple to understand, regardless of the era. https://t.co/CaocWsI…","Twitter Climate Change Sentiment Dataset"
"RT @shannynmoore: Our community had 100% show up to #MarchForScience - we can see climate change from our porch. #Alaska https://t.co/dRzZE…","Twitter Climate Change Sentiment Dataset"
"@JHopkinsBooks I hope we can get people to wake up and realize that climate change is not a political issue.","Twitter Climate Change Sentiment Dataset"
"RT @EP_President: .@MikeBloomberg and I agree: The fight against climate change must continue. EU is committed to the #ParisAgreement. http…","Twitter Climate Change Sentiment Dataset"
"RT @jmsexton_: Pentagon strips 'climate change' from yet another essential defense planning document https://t.co/JKmOSAd6UO #ClimateChange","Twitter Climate Change Sentiment Dataset"
"Itâ€™s about health, itâ€™s about climate change, and itâ€™s about making the best use of technology. So itâ€™s sad that weâ€¦ https://t.co/ornBvanVE3","Twitter Climate Change Sentiment Dataset"
"Ted Cruz Owns Sierra Club President Aaron Mair on Global Warming: https://t.co/oGBLAO6ZGg  #tcot","Twitter Climate Change Sentiment Dataset"
"RT @davidaxelrod: THAT's what everyone is talking about?!? Not trade, climate change, refugees, North Korea, Syria ...they're talking…","Twitter Climate Change Sentiment Dataset"
"RT @brhodes: No other major political party in the entire world denies the existence and existential threat of climate change. https://t.co…","Twitter Climate Change Sentiment Dataset"
"@mention REALLY HOT. turns out, he ALWAYS grunts during that dance move. it's louder in a diff. perf. really loud. like, ""ughhAHH~""","Weather sentiment evaluated"
"@ScottieRock28 @TheOneSoleShoe But if the harms from climate change were actually priced in, coal would be kaput. Hence my confusion.","Twitter Climate Change Sentiment Dataset"
"#climatechange - https://t.co/yl8SoXJjpm Here's how to watch Leonardo DiCaprio's climate change documentary for free online","Twitter Climate Change Sentiment Dataset"
"48% in Gallup Poll say global warming is exaggerated. http://earthlingangst.blogspot.com #global warming #Gallup","Sentiment of Climate Change"
"Scotland's historic sites at high risk from climate change, report says ... - The Guardian https://t.co/Yi8BH1aHKP","Twitter Climate Change Sentiment Dataset"
"RT @billmckibben: Sometimes I write a piece I think worth sharing. This is about the need to treat climate change as what it is: a war http…","Twitter Climate Change Sentiment Dataset"
"RT @NASAGoddard: Tomorrow at 7 a.m. ET on Facebook Live! Learn how NASA studies ice to track global warming effects:Ã¢â‚¬Â¦","Twitter Climate Change Sentiment Dataset"
"Climate change negatively affecting agriculture: https://t.co/eK2Xc8GI3z https://t.co/MTidmJi4XY","Twitter Climate Change Sentiment Dataset"
"MSNBC's Ratigan Blames 'Snowpocalypse' on Global Warming http://bit.ly/943TCj","Sentiment of Climate Change"
"Right on! Richard Branson's #EarthDay message 2 biz ""Get ur house in order.Fight global warming!#green #eco http://bit.ly/aqJi4L -Plez RT","Sentiment of Climate Change"
"RT @CityJournal: Withdrawal from the Paris Agreement could lead to real action on climate change through nuclear power.…","Twitter Climate Change Sentiment Dataset"
"RT @2TAPU: Tragic irony: the countries who do the least climate damage are the first to suffer climate change devastation #Fiji 🇫🇯","Twitter Climate Change Sentiment Dataset"
"RT @PopSci: Four things you can do to stop Donald Trump from making climate change worse https://t.co/V6o9QJSdVl https://t.co/L34Nm7m1vV","Twitter Climate Change Sentiment Dataset"
"RT @mrspanstreppon: @bdylan234 @IvankaTrump In '10, Ivanka thought climate change was a joke. https://t.co/hMbJ1WkW3w","Twitter Climate Change Sentiment Dataset"
"@Mo_IbrahimFdn @alykhansatchu @ayittey would like to hear your views on African nations climate change policy? Isnâ€™â€¦ https://t.co/F54uFmyqb3","Twitter Climate Change Sentiment Dataset"
"RT @VegNews: The @UN was urged to consider negative impacts of animal-agriculture in next climate change conference.…","Twitter Climate Change Sentiment Dataset"
