tweet_text,dataset
@beeXnice awwwready,twitter_cikm_2010
"@paulbritphoto It must be that coffee you had little earlier. The power of java! But, it's cocktail hour here for the Happy Friday!",twitter_cikm_2010
I drove all the way to IA to this park to sit and read my book by the mississippi. But now I'm hungry. Guess I'll just go home. Waa waaa.,twitter_cikm_2010
I am beat!!!,twitter_cikm_2010
"To the world you may be one person, but to one person you may be the world…...",twitter_cikm_2010
@rinazsoready Damn you suck! I'd kill for a night with @SongzYuuup!,twitter_cikm_2010
Interdisciplinary .......... @ericthomask,twitter_cikm_2010
U got a wave invite yet?,twitter_cikm_2010
Skate Session biaaatch get some,twitter_cikm_2010
@BearTwinsMom going good just got all 4 boys started in school today frees up time during the day for momma lol How are things going with u?,twitter_cikm_2010
Being touristy in NYC w our friends from Spain.,twitter_cikm_2010
Another insightful post from @copyblogger: What My Five-Year-Old Son,twitter_cikm_2010
RT @M_aNTh0nY03: I really miss talking to my #twittercrush i feel like we fell off :( how can i get it back???-me + twitter crushes = done!,twitter_cikm_2010
RT @LindseyKarberg: @theEHRGuy To get feedback from CIOs and HIM directors.<=@HIMSS and @AZHIMSS,twitter_cikm_2010
@Star_Jacks I'm right here,twitter_cikm_2010
The really hard part is helping the student and the teacher to find their authentic interesting(2Me),twitter_cikm_2010
@tickles_ivories Mmm. The New Pornos are great in concert. Do they have another album in the works yet?,twitter_cikm_2010
@metspolice Just saw your speculation on the Opening Day lottery. Could sales really be that low? Even I dont buy that.,twitter_cikm_2010
"I love Jay and I'll be a Jay-Z fan until I die, but just like 808s and Heartbreak, I'm not big on it",twitter_cikm_2010
RT @LaLaCherelle: 1/2 Gallon... Yes... BAOW http://tweetphoto.com/10646250< dnt hurt ya self,twitter_cikm_2010
Goodmorning young world,twitter_cikm_2010
@airbear16 hass a bird nose and chipmunk laugh,twitter_cikm_2010
Shout out to @RTheStarr@Unibaby@Tasiadabody@MizzBklynBadAzz@CinnCity@NicoleJ718 I seen yall dancing an drinkin,twitter_cikm_2010
"@Uber_Support I'm stuck. I can't log into my account because I never use it, forgot my password and to reset my password, need to have Uber send an SMS message to my phone...",Customer Support on Twitter
@GrinStylez I'm not at a shop anymore. Moved to the bx. Looking for a spot though. U have any room there? Lol.  http://myloc.me/3tOu2,twitter_cikm_2010
Its soooo sad that I'm willing to wait over an hour for a haircut because I'm in such desperate need for one !,twitter_cikm_2010
@FedFamSheez lol u told me u weren't talkin to me anymore! Lol anywho I'm full as hell lol.,twitter_cikm_2010
@br3sobr33zy save me one plz haha,twitter_cikm_2010
@PrincessMuff LOL,twitter_cikm_2010
please count how many 2000 notes you have modi will address the nation with important message 1145 ,Twitter Sentiments Dataset
looking at the #blue blue #sky  #barcelona #bcn #catalunya   #motivation #sunnydayâ¦ ,Twitter Toxic Tweets
"more blackberry problems, blowies fo real",twitter_cikm_2010
"@504602 @727073 @121707 @3693 @120586 @SW_Help Nopes, definitely a Madam Sir.",Customer Support on Twitter
  friday! remembering to not judge others by what i see. #love # peace #success ,Twitter Toxic Tweets
@AyoErin tell me about it !,twitter_cikm_2010
"@Luccadoes lady a, American idiot/green day and pink",twitter_cikm_2010
Sleepy!,twitter_cikm_2010
Dad accuses Disney of calling his 11-year-old a hacker http://bit.ly/6xigMO,twitter_cikm_2010
Ten minutes on hold so far with @115911 #iPhoneX,Customer Support on Twitter
What is the Importance of Up-Time Availability in a Web Hosting Server?  http://bit.ly/6k255n :),twitter_cikm_2010
