"relevant","tweet_text","tweet_id","humanitarian_label","original_humanitarian_label","event_type","dataset","year","event_name","original_relevant_label"
"True","Cruuuuud. Tornado warning for Denton County. And the TV isn't working. And the Dallas news sites aren't helpful. Cruuuuud.","99043655413302657518","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Tornado on the ground in Azle headed right toward TMS","99557170222666235939","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","US tornado toll rises to 122 (AFP) http://dlvr.it/StLMh","99424942198982913718","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Tornado sirens. This is scary.","99669004357281797899","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Sitting in shelter waiting to see if the tornado hits my house. #anxious #scared","99092306482313588188","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","US: Joplin Mo. tornado had more than 1 vortex http://fxn.ws/k50jUl","99841846524435486785","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Tornado reported 2 miles west of Azle TX. This is to the northwest of Ft. Worth. Radar warning... h ...","99606907160130357168","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Whew that was close. A few broken windows but otherwise survived the tornado.  Now to pick up debris for the rest of the evening.","99990763854634669804","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","This is a serious situation for the DFW Metro. If you know anyone in the central to northern subs have them take c ...","99865362371643814080","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","#Joplin stats: 124 people confirmed dead 750 treated at hospitals about 1500 still unaccounted for; approx 8000 stru ...","99322149754868073262","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Tornado Warning for Coal County in OK until 8:30pm CDT. #okwx","99596002254201688374","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Holy Hell... Before & after photo of the #Joplin tornado: http://bit.ly/iwqNmq - via @tamarlevine @andyfortson","99603389295642226395","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Damaging wind threat coming into Tulsa OK #tornado #okwx","99703363532050235452","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","@hidama @ambersplace On Thursday we'll collect supplies 7a-7p at 23rd St Zarco. Water Food Toiletries and... http://bit.ly/mbWCzD #Joplin","99282732440435583875","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","DENTON: Take shelter. Possible tornado just to the west of where I-35W and I-35E meet.","99727104760849798684","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","@facethewind_com Awesome tornado picture Dave. May we use it on msnbc.com?","99765236589761602582","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Platte County MO until a tornado watch until 3a.m.","99770978377860218770","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Psalm 7:13  [God] hath also prepared for [the wicked] the instruments of death; he ordaineth his arrows against the persec ...","99788683642308996390","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Rice County has again been placed under a Severe Thunderstorm Warning until 8pm. Currently Barton County is under a Tornado Warning.","99621652057316219605","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Tornado warning for N. Tarrant County TX (northern Fort Worth area).  Softball size hail possible too. Warning info: h ...","99668266094000089737","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Text REDCROSS to 90999 to help the victims of the Joplin tornado.","99706785982850005849","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Speechless. RT:@slmandel If the tornado wreckage photos haven't gotten to you this before-and-after in Joplin will. http: ...","99616851352080000095","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","#SAFETYALERT Folks in #Oklahoma #Kansas #Arkansas & #Missouri watch the @weatherchannel #TheWeatherChannel for #tornado dangers in your area","99012432413247245808","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Rep. Long @auctnr1 on #FEMA response to #Joplin tornado: ""On a scale from 1 to 10 I'd put 'em at a 12.""","99523466454226946375","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","After saying he'd withhold tornado relief funds National Weather Service upgraded Eric Cantor to a category-5 Asshole.","99661736934843850047","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","That artic Vs tornado I mentioned earlier... http://goo.gl/suVye  The driver is apparently OK - result.","99382209606679217462","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Tornado warning now in Washington County and NE Osage County  OK...take shelter now. #okwx","99406882757932201525","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","if you live in northern tarrant county stay alert. a tornado may be on the ground near azle. its moving east at 40mph.","99339671366093003616","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","SPC Tornado Watch 363 Status Reports http://dlvr.it/StNQS","99193123768347496584","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Ghoshen/Springtown in Parker county TAKE TORNADO PRECAUTIONS","99801339424687989741","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","June Advertising Special! 6 spots open and 100% of proceeds will go to help #Joplin Mo Tornado Victims. Please RT!  ht ...","99689027996509591898","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Birmingham tornado debris cleanup contracts go to 3 firms; mayor... http://bit.ly/kK5iLe #Birmingham #AL","99350569811037279689","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","JFC. RT @TWCBreaking: New tornado watch until 3am CDT for western MO.  Includes #Joplin.  More info: http://wxch.nl/k6CgxX","99905068230796300640","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
"True","Collin/Dallas  County need to be ready to take cover within the next 20-30 minutes. You need to be  ...","99300270499048394231","","","storm","ISCRAM2013","2011","2011 Joplin tornado",""
