"tweet_text","event_type","original_relevant_label","meta","tweet_id","dataset","relevant","humanitarian_label","event_name","original_humanitarian_label","year"
"#earthquake Magnitude 2.1 occurred 159km NE of Cape Yakataga, Alaska 2017-08-01T01:12:02.427Z UTC #didyoufeelit? https://t.co/LUf6LH4P61","earthquake","non-eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","866d7ed1-44ec-4e18-ac16-1c52aae9b558","eyewitness_messages","True","","","","2017"
"Retweeted Earthquakes Tsunamis (@NewEarthquake):  5.0 earthquake, 45km SE of Adak, Alaska. 2017-07-31 19:00:26 at... https://t.co/hKiFqg3E4R","earthquake","non-eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","66b816b6-cc2c-488a-97c8-f53227e13870","eyewitness_messages","True","","","","2017"
"I always know I need to go shopping when I've eaten all my earthquake supplies and the last quake was a 2.0","earthquake","don't know","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","c811a013-48cf-4240-b82f-ddc39b5c78f1","eyewitness_messages","True","","","","2017"
"Update: M2.0 #earthquake (#sismo) strikes 1 km SW of #PÄ","earthquake","non-eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","6c65336a-a22b-4ec0-bc17-98707f068e1d","eyewitness_messages","True","","","","2017"
"ã€","earthquake","non-eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","99246b0e-81e8-40c1-9d6a-8cf8b9da7b55","eyewitness_messages","True","","","","2017"
"i deadass want this in my bedroom but if a earthquake happens and i'm in my bed i'm fucked https://t.co/cSiOLcKdP5","earthquake","don't know","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","b0886637-4bba-4150-8840-89d9590fb5f5","eyewitness_messages","True","","","","2017"
"#earthquake (USGS) https://t.co/ifDmBNb7Vf: M 2.9 - 34km NW of Fairview, Oklahoma https://t.co/pWWulXDZxe","earthquake","non-eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","5f98d632-d3ec-4ee5-a097-443b82c489ee","eyewitness_messages","True","","","","2017"
"7-31-17: 5.3 magnitude earthquake hits near Palaiochora, Greece https://t.co/hFe0pwOPf0","earthquake","non-eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","a39a5d55-9c51-4237-921c-41d2b33a2e71","eyewitness_messages","True","","","","2017"
"USGS reports a M0.94 #earthquake 16km SE of Mammoth Lakes, California on 8/1/17 @ 8:14:59 UTC https://t.co/R433Fo5zen #quake","earthquake","non-eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","7e3897a8-7439-4a48-be15-1cd8f89ae992","eyewitness_messages","True","","","","2017"
"Beavis the bum lost a trailer home and then fell asleep before waking up to an earthquake","earthquake","don't know","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","a6c0c8bf-fa9e-41d8-b495-571fceecb458","eyewitness_messages","True","","","","2017"
"Effects of 3.9 magnitude earthquake north east of #Niguelas felt in various parts of #Granada province early this mâ€¦ https://t.co/HcqCk5dtcE","earthquake","non-eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","0b4cfb3f-8978-4f7a-9fb4-044e7795dcda","eyewitness_messages","True","","","","2017"
"Shallow 5.3 magnitude earthquake strikes off Crete https://t.co/ZJXzM4T81c","earthquake","non-eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","86b8cba5-3cb0-479d-910f-febb4a23145d","eyewitness_messages","True","","","","2017"
"USGS reports a M1.2 #earthquake Southern Alaska on 8/1/17 @ 8:18:06 UTC https://t.co/7eqTDkYfkR #quake","earthquake","non-eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","96b43a9f-c176-4bf7-8031-74f9bba44c44","eyewitness_messages","True","","","","2017"
"1.48 earthquake occurred 16km SE of Mammoth Lakes, California at 08:17 UTC! #earthquake #MammothLakes https://t.co/CkzRVip88g","earthquake","non-eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","ffb223d5-6216-4f3e-a9aa-64f36aab673e","eyewitness_messages","True","","","","2017"
"Green earthquake alert (Magnitude 5.6M, Depth:85.07km) in Argentina 01/08/2017 06:13 UTC, About 9322 people withinâ€¦ https://t.co/lAjS5JdL2R","earthquake","non-eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","8a3b5611-7597-43c1-ba3e-2e54f5867e54","eyewitness_messages","True","","","","2017"
"USGS reports a M1.33 #earthquake Northern California on 8/1/17 @ 8:25:20 UTC https://t.co/RszaswYc1V #quake","earthquake","non-eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","8e51a3e7-c723-4fba-84f9-b3682b59b5c4","eyewitness_messages","True","","","","2017"
"2.1 earthquake close to Greece at 08:00 UTC! #earthquake #Greece https://t.co/jb56NDvJdG","earthquake","non-eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","dbd35d59-8d61-4d73-85bf-095a123b2a00","eyewitness_messages","True","","","","2017"
"1.33 earthquake occurred 6km NW of The Geysers, California at 08:25 UTC! #earthquake #TheGeysers https://t.co/6gJHDJicei","earthquake","non-eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","30f4f03f-99db-4c0e-b49a-bbe7240b2836","eyewitness_messages","True","","","","2017"
"5.6 earthquake, 53km WNW of Vinchina, Argentina. 2017-08-01 03:13:53 at epicenter (21m ago, depth 85km). â€¦â€¦ https://t.co/4a4IIFYx9F","earthquake","non-eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","fea21b9d-009a-4613-a963-ead22ea5ff97","eyewitness_messages","True","","","","2017"
